sequence_id,address,tx_type,tokenid,amount,rate,blocktimestamp,pool
4658,0x0E8c762eff3199A33bdA1B39Ba77c56B73df708F,Deposit,0x15cf,17.026009,0.04,1660506833,ZigZag-USDC-2Mo
4660,0xC9bACc8A8cabdA5DBFadE2fC2740E2aEC7414912,Deposit,0x15ce,24.305414,0.04,1660506687,ZigZag-USDC-2Mo
4663,0xF03bf098bFECaC6fa90E7dd99016FFD6F352963D,Deposit,0x15cd,17.016543,0.04,1660506545,ZigZag-USDC-2Mo
4670,0x9F901956d5F47E82478F3d5371Ae3F152848d132,Deposit,0x15cb,15.83,0.04,1660501872,ZigZag-USDC-2Mo
4681,0xc724e609D9A3968013eF8Ce0Bf2CB48971A9b01D,Deposit,0x15c7,104.0,0.15,1660496774,ZigZag-USDC-2Mo
4704,0x7553fa99AB1f429551eeC660708C08E14E30584F,Deposit,0x15c3,1027.341122,0.1,1660477547,ZigZag-USDC-2Mo
4707,0xDfa0387f173904fbF36AD26B63279ac47624b55e,Deposit,0x15c1,1026.983198,0.09,1660474527,ZigZag-USDC-2Mo
4708,0xDDE86fb56b81Bd4cF1f3C410FD12c77B9a74267B,Deposit,0x15c0,1011.882575,0.1,1660474489,ZigZag-USDC-2Mo
4723,0x4aEE42A7Ddeeed6AE556670794110CBc608c49A6,Deposit,0x15b8,111.0,0.1,1660467468,ZigZag-USDC-2Mo
4792,0x70EC8310464Bb11b1b4944EfaF91C91834988797,Deposit,0x15a9,105.0,0.15,1660413654,ZigZag-USDC-2Mo
4864,0x1b70A0f478fD5CeC1649105A2a9D5f5f3B808792,Deposit,0x159f,300.0,0.15,1660382100,ZigZag-USDC-2Mo
4909,0xB377D55090A007cC96a5906dcbf39b9370a1305A,Deposit,0x1597,100.0,0.15,1660373983,ZigZag-USDC-2Mo
4924,0xC490104Cc801bF02d28B2e19bd59B03EeF384B63,Deposit,0x1596,100.0,0.03,1660370382,ZigZag-USDC-2Mo
5068,0x7F4e21B39D6506e333b9b470B3Fdedd4fCBbC6e8,Deposit,0x158a,27.720255,0.08,1660347030,ZigZag-USDC-2Mo
5249,0x751E3c266e997dE0B1f95bD118d562f47fAE2488,Deposit,0x157b,21.0,0.02,1660328818,ZigZag-USDC-2Mo
5347,0xA29012a376716FBD163aE8693974422EaF4B194c,Deposit,0x156c,44.0,0.06,1660304421,ZigZag-USDC-2Mo
5435,0x4d0D4B78FAcD60d1C4f601F5C25B364E41F0F400,Deposit,0x1530,100.0,0.04,1660048921,ZigZag-USDC-2Mo
5436,0x787334cE2c7944EEcd6B83a4bb0b3568DaE21C76,Deposit,0x152f,100.0,0.04,1660048869,ZigZag-USDC-2Mo
5437,0x62f3e0FD6eE96278E5930F39f0e38B82d030421C,Deposit,0x152e,100.0,0.04,1660048807,ZigZag-USDC-2Mo
5438,0x3C987887ED5cA43F93b5f40BB276D9750dF0f2DB,Deposit,0x152d,100.0,0.04,1660048739,ZigZag-USDC-2Mo
5439,0x0cAC4eBa83a944B0726eEf275E8d6793d8dFFcAF,Deposit,0x152c,100.0,0.04,1660048687,ZigZag-USDC-2Mo
5440,0x3c8f430727b78Dd271b6be1CAC3BC7cd39AF9A7b,Deposit,0x152b,100.0,0.04,1660048609,ZigZag-USDC-2Mo
5441,0x1e2078F670Abc2044915c8FD0823cdf2558C4973,Deposit,0x152a,100.0,0.04,1660048533,ZigZag-USDC-2Mo
5442,0x351fdAb6fb1CEf99504B353f1d6575a4163D175a,Deposit,0x1529,100.0,0.04,1660048475,ZigZag-USDC-2Mo
5443,0xe4Bd837c3dB59F0B4b41496573551752D9AA3a03,Deposit,0x1528,100.0,0.04,1660047755,ZigZag-USDC-2Mo
5444,0x7fAF03E5964c96c6a22DE45f278c0e63aeC6C11C,Deposit,0x1527,100.0,0.04,1660047499,ZigZag-USDC-2Mo
5600,0xa4D311382B5Cf8b20b78c4246C9b3d304f6b9c8f,Deposit,0x14dc,138.977776,0.12,1659540167,ZigZag-USDC-2Mo
5608,0xa1020DFD900523975a4e598a2Eb69f32B9a35204,Deposit,0x14d6,6.0,0.04,1659522618,ZigZag-USDC-2Mo
5662,0xC220e6190623532Ce0577670057Ac6e8d5e9E1A4,Deposit,0x14b3,13.387816,0.03,1659348642,ZigZag-USDC-2Mo
5663,0xf8926A177273202755F9Fa930c96285e612375AC,Deposit,0x14b2,100.0,0.02,1659348098,ZigZag-USDC-2Mo
5664,0xD02aa7cB4E451fc52E7409f8aDD9954fa8a54a9E,Deposit,0x14b1,10.0,0.04,1659348000,ZigZag-USDC-2Mo
